,Order ID,Order Date,CustomerName,State,City,Amount,Profit,Quantity,Category,Sub-Category
0,B-25601,01-04-2018,Bharat,Gujarat,Ahmedabad,1275.0,-1148.0,7,Furniture,Bookcases
1,B-25601,01-04-2018,Bharat,Gujarat,Ahmedabad,66.0,-12.0,5,Clothing,Stole
2,B-25601,01-04-2018,Bharat,Gujarat,Ahmedabad,8.0,-2.0,3,Clothing,Hankerchief
3,B-25601,01-04-2018,Bharat,Gujarat,Ahmedabad,80.0,-56.0,4,Electronics,Electronic Games
4,B-25602,01-04-2018,Pearl,Maharashtra,Pune,168.0,-111.0,2,Electronics,Phones
5,B-25602,01-04-2018,Pearl,Maharashtra,Pune,424.0,-272.0,5,Electronics,Phones
6,B-25602,01-04-2018,Pearl,Maharashtra,Pune,2617.0,1151.0,4,Electronics,Phones
7,B-25602,01-04-2018,Pearl,Maharashtra,Pune,561.0,212.0,3,Clothing,Saree
8,B-25602,01-04-2018,Pearl,Maharashtra,Pune,119.0,-5.0,8,Clothing,Saree
9,B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,1355.0,-60.0,5,Clothing,Trousers
10,B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,24.0,-30.0,1,Furniture,Chairs
11,B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,193.0,-166.0,3,Clothing,Saree
12,B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,180.0,5.0,3,Clothing,Trousers
13,B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,116.0,16.0,4,Clothing,Stole
14,B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,107.0,36.0,6,Clothing,Stole
15,B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,12.0,1.0,2,Clothing,Hankerchief
16,B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,38.0,18.0,1,Clothing,Kurti
17,B-25604,03-04-2018,Divsha,Rajasthan,Jaipur,65.0,17.0,2,Clothing,T-shirt
18,B-25604,03-04-2018,Divsha,Rajasthan,Jaipur,157.0,5.0,9,Clothing,Saree
19,B-25605,05-04-2018,Kasheen,West Bengal,Kolkata,75.0,0.0,7,Clothing,Saree
20,B-25606,06-04-2018,Hazel,Karnataka,Bangalore,87.0,4.0,2,Clothing,Shirt
21,B-25607,06-04-2018,Sonakshi,Jammu and Kashmir,Kashmir,50.0,15.0,4,Clothing,Leggings
22,B-25608,08-04-2018,Aarushi,Tamil Nadu,Chennai,1364.0,-1864.0,5,Furniture,Tables
23,B-25608,08-04-2018,Aarushi,Tamil Nadu,Chennai,476.0,0.0,3,Furniture,Chairs
24,B-25608,08-04-2018,Aarushi,Tamil Nadu,Chennai,257.0,23.0,5,Clothing,Hankerchief
25,B-25608,08-04-2018,Aarushi,Tamil Nadu,Chennai,856.0,385.0,6,Electronics,Printers
26,B-25609,09-04-2018,Jitesh,Uttar Pradesh,Lucknow,485.0,29.0,4,Electronics,Electronic Games
27,B-25609,09-04-2018,Jitesh,Uttar Pradesh,Lucknow,25.0,-5.0,4,Clothing,Saree
28,B-25610,09-04-2018,Yogesh,Bihar,Patna,1076.0,-38.0,4,Electronics,Printers
